id,domain,year,month,label,split
1295433508505214976,food,2020,8,1,train
1330966247878496257,travel,2020,11,1,train
1308576889234055169,food,2020,9,1,train
895729456450588673,lifestyle,2017,8,0,train
1372249517966434309,fitness,2021,3,1,train
1075020886439354369,food,2018,12,1,train
1138935810777145345,beauty,2019,6,1,train
1317443763250364417,food,2020,10,1,train
841344413020356609,lifestyle,2017,3,0,train
1098143784855093248,fitness,2019,2,0,val
1028290618307563521,lifestyle,2018,8,0,train
1205372040133263360,food,2019,12,1,train
1395492069578182656,tech,2021,5,1,val
1321170977926057987,food,2020,10,0,train
1058139225814642690,beauty,2018,11,0,train
1335056380110249985,travel,2020,12,1,train
1083237598842273792,food,2019,1,0,train
1350513247657422848,food,2021,1,1,train
926799684269522944,food,2017,11,0,train
1044805768543973377,food,2018,9,0,train
1317615225797947392,food,2020,10,0,train
1379386275061501955,food,2021,4,0,train
1072512880229138432,food,2018,12,1,train
1187674253874946053,lifestyle,2019,10,1,val
1083552068806365187,food,2019,1,1,train
1087696385850380288,fitness,2019,1,0,train
1315819570771394562,food,2020,10,0,train
1263343082700828673,food,2020,5,1,train
1312465922582405120,food,2020,10,1,train
999671636566728704,food,2018,5,1,train
1325853290647711744,tech,2020,11,1,val
1049850253690724352,fitness,2018,10,0,train
1408067413279576082,tech,2021,6,0,val
1326698105086021632,travel,2020,11,0,train
1072292863357186050,food,2018,12,1,train
1380936985200656388,food,2021,4,0,train
1228506892990808064,food,2020,2,1,train
1387611776972296195,food,2021,4,0,train
1092011381132537856,food,2019,2,1,train
1210194122474024961,food,2019,12,0,train
1156822155960754176,food,2019,8,0,train
1400089247177056261,food,2021,6,0,train
936234733482201089,beauty,2017,11,1,val
825716755788083201,fitness,2017,1,1,train
1385392010698313729,tech,2021,4,0,val
1313682841331400705,food,2020,10,0,train
1123248610894909441,beauty,2019,4,0,train
1372596022459953163,fitness,2021,3,1,train
1063144622078214145,fitness,2018,11,1,train
664156483681058816,fitness,2015,11,1,train
1037904300276633601,beauty,2018,9,1,train
1413465406400962570,food,2021,7,0,train
1187773036809904129,beauty,2019,10,1,train
1067599707306946560,food,2018,11,1,train
1375426718022918148,fitness,2021,3,1,train
1107657501808328705,food,2019,3,0,train
917136243225489409,beauty,2017,10,1,train
1156209902936870914,lifestyle,2019,7,1,train
1028629158165925889,fitness,2018,8,1,train
1405435400945025027,food,2021,6,0,train
1055288775067213824,food,2018,10,1,train
1306319422303490050,food,2020,9,1,train
1009106235478675461,food,2018,6,0,train
1185267398691168257,travel,2019,10,0,train
887324985894862848,lifestyle,2017,7,0,train
872798288369659904,food,2017,6,1,train
745899051825102850,beauty,2016,6,1,val
1068376907253784576,food,2018,11,0,train
1327752020959309830,food,2020,11,1,train
1113716874385215488,food,2019,4,0,train
1253434045217689602,travel,2020,4,0,train
1293248491691671555,food,2020,8,0,train
1290338218081169408,beauty,2020,8,0,train
1376538495112593413,beauty,2021,3,0,train
1131343721658769408,beauty,2019,5,1,train
1221502199005466624,food,2020,1,0,train
1372880701964554246,food,2021,3,0,train
1012386883777818625,travel,2018,6,1,train
1121613098249531392,food,2019,4,1,train
1256599982792159238,lifestyle,2020,5,1,val
1380482972890054656,food,2021,4,0,train
1272874323905134595,travel,2020,6,0,train
1240269426748010497,travel,2020,3,1,train
1191732391699795969,travel,2019,11,0,train
1194298098291499008,travel,2019,11,1,train
1319906220325601281,tech,2020,10,1,train
1314185081066586112,tech,2020,10,1,val
1144584956213190657,travel,2019,6,1,train
1377874751373381633,food,2021,4,1,train
1408025879079309312,food,2021,6,0,train
1381866662127878145,tech,2021,4,0,val
1093099424342044672,lifestyle,2019,2,0,train
675486549694287873,fitness,2015,12,0,train
1351904844412559472,tech,2021,1,0,val
1021603588647280640,food,2018,7,0,train
954362926726635520,food,2018,1,1,train
1167740537962676224,travel,2019,8,0,train
1371026807261106176,lifestyle,2021,3,0,train
1214179765361315840,food,2020,1,0,train
906495384121307136,food,2017,9,0,train
1253031856049664000,travel,2020,4,0,train
1332555414148427776,food,2020,11,1,train
1253594650176360449,lifestyle,2020,4,1,val
1243513361876291586,travel,2020,3,1,train
